Name	LongName	Values	VarType	DataType	Notes
Participant	Participant	[1+]	fixed	Integer	
Timestep	Timestep	[1+]	dynamic	Integer	
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
Physical Health	Physical Health	[1-7]	dynamic	Integer	Q1
Relative Property Value	Relative Property Value	[1-7]	dynamic	Integer	Q6
Landfall Certainty	Landfall Certainty	[1-7]	dynamic	Integer	Q9
Category Certainty	Category Certainty	[1-7]	dynamic	Integer	Q10
