Name	LongName	Values	VarType	DataType	Notes
Participant	Participant	[1+]	fixed	Integer	4.a,5.a
Timestep	Timestep	[1+]	dynamic	Integer	
Age	Age	[0-100]	dynamic	Integer	4.c,5.c
Children	Children	[0-10]	dynamic	Integer	4.c,5.c
Ethnicity	Ethnicity	majority,minority	fixed	String	4.c,5.c
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	4.c,5.c
Gender	Gender	female,male	fixed	String	4.c,5.c
Pets	Pets	yes,no	dynamic	Boolean	4.c,5.c
Religion	Religion	majority,minority,none	fixed	String	4.c,5.c
Residence	Residence	Region[01-16]	fixed	String	4.c,5.c
Wealth	Wealth	[1-7]	dynamic	Integer	4.c,5.c
At Shelter	At Shelter	yes,no	dynamic	Boolean	4.d.i,5.d.i
Evacuated	Evacuated	yes,no	dynamic	Boolean	4.d.ii,5.d.ii
Category	Category	[1-5]	dynamic	Integer	4.d.iii
Anticipated Shelter	Anticipated Shelter	[1-7]	dynamic	Integer	N/A if already at shelter
Anticipated Evacuation	Anticipated Evacuation	[1-7]	dynamic	Integer	N/A if already evacuated
Risk	Risk	[1-7]	dynamic	Integer	5.d.iv
Hurricane	Hurricane	[1+]	dynamic	Integer	4.b,5.b
Injured	Injured	yes,no	dynamic	Boolean	5.d.iii
Dissatisfaction	Dissatisfaction	[1-7]	dynamic	Integer	5.d.v
Shelter Possibility	Shelter Possibility	[1-7]	dynamic	Integer	N/A if already at shelter
Evacuation Possibility	Evacuation Possibility	[1-7]	dynamic	Integer	N/A if already evacuated
Stay at Home Possibility	Stay at Home Possibility	[1-7]	dynamic	Integer	N/A if stayed home
Property	Property	[1-7]	dynamic	Integer	5.d.vi
Assistance	Assistance	[1-7]	dynamic	Integer	5.d.vii
Number of Friends	Number of Friends	[1-999]	dynamic	Integer	5.d.viii
Number of Friends Evacuated	Number of Friends Evacuated	[1-999]	dynamic	Integer	5.d.ix
Number of Friends Sheltered	Number of Friends Sheltered	[1-999]	dynamic	Integer	5.d.x
Missed Work	Missed Work	[1-365]	dynamic	Integer	5.d.xi
Days Worked	Days Worked	[1-365]	dynamic	Integer	5.d.xi
