Name	LongName	Values	VarType	DataType	Notes
Participant	Participant	[1+]	fixed	Integer	
Timestep	Timestep	[1+]	dynamic	Integer	
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
Out Friends	Out Friends	[0+]	dynamic	Integer	0.i.k
In Friends	In Friends	[0+]	dynamic	Integer	0.i.l
Acquaintances	Acquaintances	[0+]	dynamic	Integer	0.i.m: Friends not included
Aid if Wealth Loss	Aid if Wealth Loss	[0-6]	dynamic	Integer	0.ii.a
Hurricane Vulnerability	Hurricane Vulnerability	[0-6]	dynamic	Integer	0.ii.b
Stay Home Willingness	Stay Home Willingness	[0-6]	dynamic	Integer	0.ii.c
Aid Age<20	Aid Age<20	[0-6]	dynamic	Integer	0.ii.d
Aid 20<=Age<30	Aid 20<=Age<30	[0-6]	dynamic	Integer	0.ii.e
Aid 30<=Age<40	Aid 30<=Age<40	[0-6]	dynamic	Integer	0.ii.f
Aid 40<=Age<50	Aid 40<=Age<50	[0-6]	dynamic	Integer	0.ii.g
Aid 50<=Age<60	Aid 50<=Age<60	[0-6]	dynamic	Integer	0.ii.h
Aid 60<=Age<70	Aid 60<=Age<70	[0-6]	dynamic	Integer	0.ii.i
Aid 70<=Age<80	Aid 70<=Age<80	[0-6]	dynamic	Integer	0.ii.j
Aid 80<=Age	Aid 80<=Age	[0-6]	dynamic	Integer	0.ii.k
Aid Female	Aid Female	[0-6]	dynamic	Integer	0.ii.l
Aid Male	Aid Male	[0-6]	dynamic	Integer	0.ii.m
Aid Minority Ethnicity	Aid Minority Ethnicity	[0-6]	dynamic	Integer	0.ii.n
Aid Majority Ethnicity	Aid Majority Ethnicity	[0-6]	dynamic	Integer	0.ii.o
Aid Minority Religion	Aid Minority Religion	[0-6]	dynamic	Integer	0.ii.p
Aid Majority Religion	Aid Majority Religion	[0-6]	dynamic	Integer	0.ii.q
Aid None Religion	Aid None Religion	[0-6]	dynamic	Integer	0.ii.r
Aid 0 Children	Aid 0 Children	[0-6]	dynamic	Integer	0.ii.s
Aid 1 Children	Aid 1 Children	[0-6]	dynamic	Integer	0.ii.t
Aid 2 Children	Aid 2 Children	[0-6]	dynamic	Integer	0.ii.u
Aid with Job	Aid with Job	[0-6]	dynamic	Integer	0.ii.v
Aid without Job	Aid without Job	[0-6]	dynamic	Integer	0.ii.w
Aid with Pets	Aid with Pets	[0-6]	dynamic	Integer	0.ii.x
Aid without Pets	Aid without Pets	[0-6]	dynamic	Integer	0.ii.y
Aid Wealth 5	Aid Wealth 5	[0-6]	dynamic	Integer	0.ii.z
Aid Wealth 4	Aid Wealth 4	[0-6]	dynamic	Integer	0.ii.aa
Aid Wealth 3	Aid Wealth 3	[0-6]	dynamic	Integer	0.ii.bb
Aid Wealth 2	Aid Wealth 2	[0-6]	dynamic	Integer	0.ii.cc
Aid Wealth 1	Aid Wealth 1	[0-6]	dynamic	Integer	0.ii.dd
Aid Wealth 0	Aid Wealth 0	[0-6]	dynamic	Integer	0.ii.ee
Most Take Advantage	Most Take Advantage	[0-6]	dynamic	Integer	0.ii.ff
People Can Be Trusted	People Can Be Trusted	[0-6]	dynamic	Integer	0.ii.gg
Know Injured Friends	Know Injured Friends	yes,no	dynamic	Boolean	1.one.a
Know Injured Friends from Social Media	Know Injured Friends from Social Media	yes,no	dynamic	Boolean	1.one.a.i
Know Injured Friends from Government Broadcast	Know Injured Friends from Government Broadcast	yes,no	dynamic	Boolean	1.one.a.ii
Know Injured Friends from Government Officials	Know Injured Friends from Government Officials	yes,no	dynamic	Boolean	1.one.a.iii
Know Injured Friends from Friends	Know Injured Friends from Friends	yes,no	dynamic	Boolean	1.one.a.iv
Know Injured Friends from Acquaintances	Know Injured Friends from Acquaintances	yes,no	dynamic	Boolean	1.one.a.v
Know Injured Friends from Strangers	Know Injured Friends from Strangers	yes,no	dynamic	Boolean	1.one.a.vi
Know Injured Friends from Observation	Know Injured Friends from Observation	yes,no	dynamic	Boolean	1.one.a.vii
Know Evacuated Friends	Know Evacuated Friends	yes,no	dynamic	Boolean	1.one.b
Know Evacuated Friends from Social Media	Know Evacuated Friends from Social Media	yes,no	dynamic	Boolean	1.one.b.i
Know Evacuated Friends from Government Broadcast	Know Evacuated Friends from Government Broadcast	yes,no	dynamic	Boolean	1.one.b.ii
Know Evacuated Friends from Government Officials	Know Evacuated Friends from Government Officials	yes,no	dynamic	Boolean	1.one.b.iii
Know Evacuated Friends from Friends	Know Evacuated Friends from Friends	yes,no	dynamic	Boolean	1.one.b.iv
Know Evacuated Friends from Acquaintances	Know Evacuated Friends from Acquaintances	yes,no	dynamic	Boolean	1.one.b.v
Know Evacuated Friends from Strangers	Know Evacuated Friends from Strangers	yes,no	dynamic	Boolean	1.one.b.vi
Know Evacuated Friends from Observation	Know Evacuated Friends from Observation	yes,no	dynamic	Boolean	1.one.b.vii
Know Sheltered Friends	Know Sheltered Friends	yes,no	dynamic	Boolean	1.one.b
Know Sheltered Friends from Social Media	Know Sheltered Friends from Social Media	yes,no	dynamic	Boolean	1.one.b.i
Know Sheltered Friends from Government Broadcast	Know Sheltered Friends from Government Broadcast	yes,no	dynamic	Boolean	1.one.b.ii
Know Sheltered Friends from Government Officials	Know Sheltered Friends from Government Officials	yes,no	dynamic	Boolean	1.one.b.iii
Know Sheltered Friends from Friends	Know Sheltered Friends from Friends	yes,no	dynamic	Boolean	1.one.b.iv
Know Sheltered Friends from Acquaintances	Know Sheltered Friends from Acquaintances	yes,no	dynamic	Boolean	1.one.b.v
Know Sheltered Friends from Strangers	Know Sheltered Friends from Strangers	yes,no	dynamic	Boolean	1.one.b.vi
Know Sheltered Friends from Observation	Know Sheltered Friends from Observation	yes,no	dynamic	Boolean	1.one.b.vii
Know Injured Acquaintances	Know Injured Acquaintances	yes,no	dynamic	Boolean	1.one.b
Know Injured Acquaintances from Social Media	Know Injured Acquaintances from Social Media	yes,no	dynamic	Boolean	1.one.b.i
Know Injured Acquaintances from Government Broadcast	Know Injured Acquaintances from Government Broadcast	yes,no	dynamic	Boolean	1.one.b.ii
Know Injured Acquaintances from Government Officials	Know Injured Acquaintances from Government Officials	yes,no	dynamic	Boolean	1.one.b.iii
