Name	LongName	Values	VarType	DataType	Notes
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Pets	Pets	yes,no	dynamic	Boolean	
Wealth	Wealth	[1-7]	dynamic	Integer	
TA2A 522 Allowed Entry	TA2A 522 Allowed Entry	Region[01-16]:yes,no	dynamic	String	
TA2A 522 Income	TA2A 522 Income	[1-7]	dynamic	Integer	
TA2A 522 Injury Level	TA2A 522 Injury Level	[1-7]	dynamic	Integer	
TA2A 522 Anticipated Evacuation	TA2A 522 Anticipated Evacuation	[1-7]	dynamic	Integer	
TA2A 522 Dissatisfaction Previous	TA2A 522 Dissatisfaction Previous	[1-7]	dynamic	Integer	
