Name	LongName	Values	VarType	DataType	Notes
Participant	Participant	[1+]	fixed	Integer	
Timestep	Timestep	[1+]	dynamic	Integer	
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
Out Friends	Out Friends	[0+]	dynamic	Integer	0.i.11
In Friends	In Friends	[0+]	dynamic	Integer	0.i.12
Acquaintances	Acquaintances	[0+]	dynamic	Integer	0.i.13
Aid if Wealth Loss	Aid if Wealth Loss	[0-6]	dynamic	Integer	0.ii.1
Hurricane Vulnerability	Hurricane Vulnerability	[0-6]	dynamic	Integer	0.ii.2
Stay Home Willingness	Stay Home Willingness	[0-6]	dynamic	Integer	0.ii.3
Aid Age<20	Aid Age<20	[0-6]	dynamic	Integer	0.ii.4
Aid 20<=Age<30	Aid 20<=Age<30	[0-6]	dynamic	Integer	0.ii.5
Aid 30<=Age<40	Aid 30<=Age<40	[0-6]	dynamic	Integer	0.ii.6
Aid 40<=Age<50	Aid 40<=Age<50	[0-6]	dynamic	Integer	0.ii.7
Aid 50<=Age<60	Aid 50<=Age<60	[0-6]	dynamic	Integer	0.ii.8
Aid 60<=Age<70	Aid 60<=Age<70	[0-6]	dynamic	Integer	0.ii.9
Aid 70<=Age<80	Aid 70<=Age<80	[0-6]	dynamic	Integer	0.ii.10
Aid 80<=Age	Aid 80<=Age	[0-6]	dynamic	Integer	0.ii.11
Aid Female	Aid Female	[0-6]	dynamic	Integer	0.ii.12
Aid Male	Aid Male	[0-6]	dynamic	Integer	0.ii.13
Aid Minority Ethnicity	Aid Minority Ethnicity	[0-6]	dynamic	Integer	0.ii.14
Aid Majority Ethnicity	Aid Majority Ethnicity	[0-6]	dynamic	Integer	0.ii.15
Aid Minority Religion	Aid Minority Religion	[0-6]	dynamic	Integer	0.ii.16
Aid Majority Religion	Aid Majority Religion	[0-6]	dynamic	Integer	0.ii.17
Aid None Religion	Aid None Religion	[0-6]	dynamic	Integer	0.ii.18
Aid 0 Children	Aid 0 Children	[0-6]	dynamic	Integer	0.ii.19
Aid 1 Children	Aid 1 Children	[0-6]	dynamic	Integer	0.ii.20
Aid 2 Children	Aid 2 Children	[0-6]	dynamic	Integer	0.ii.21
Aid with Job	Aid with Job	[0-6]	dynamic	Integer	0.ii.22
Aid without Job	Aid without Job	[0-6]	dynamic	Integer	0.ii.23
Aid with Pets	Aid with Pets	[0-6]	dynamic	Integer	0.ii.24
Aid without Pets	Aid without Pets	[0-6]	dynamic	Integer	0.ii.25
Aid Wealth 5	Aid Wealth 5	[0-6]	dynamic	Integer	0.ii.26
Aid Wealth 4	Aid Wealth 4	[0-6]	dynamic	Integer	0.ii.27
Aid Wealth 3	Aid Wealth 3	[0-6]	dynamic	Integer	0.ii.28
Aid Wealth 2	Aid Wealth 2	[0-6]	dynamic	Integer	0.ii.29
Aid Wealth 1	Aid Wealth 1	[0-6]	dynamic	Integer	0.ii.30
Aid Wealth 0	Aid Wealth 0	[0-6]	dynamic	Integer	0.ii.31
Most Take Advantage	Most Take Advantage	[0-6]	dynamic	Integer	0.ii.32
People Can Be Trusted	People Can Be Trusted	[0-6]	dynamic	Integer	0.ii.33
Witnessed Crime	Witnessed Crime	[0+]	dynamic	Integer	1.1
Heard Crime Friends	Heard Crime Friends	[0+]	dynamic	Integer	1.2
Heard Crime Acquaintances	Heard Crime Acquaintances	[0+]	dynamic	Integer	1.3
Heard Crime Strangers	Heard Crime Strangers	[0+]	dynamic	Integer	1.4
Heard Crime Social Media	Heard Crime Social Media	[0+]	dynamic	Integer	1.5
Heard Crime Govt Broadcast	Heard Crime Govt Broadcast	[0+]	dynamic	Integer	1.6
Heard Crime Govt Officials	Heard Crime Govt Officials	[0+]	dynamic	Integer	1.7
Aware Family Crime Frequency	Aware Family Crime Frequency	[0-6]	dynamic	Integer	1.1
Aware Acquaintance Crime Frequency	Aware Acquaintance Crime Frequency	[0-6]	dynamic	Integer	1.2
Aware Friend Crime Frequency	Aware Friend Crime Frequency	[0-6]	dynamic	Integer	1.3
Aware Stranger Crime Frequency	Aware Stranger Crime Frequency	[0-6]	dynamic	Integer	1.4
Aware Family Crime Severity	Aware Family Crime Severity	[0-6]	dynamic	Integer	1.5
Aware Acquaintance Crime Severity	Aware Acquaintance Crime Severity	[0-6]	dynamic	Integer	1.6
Aware Friend Crime Severity	Aware Friend Crime Severity	[0-6]	dynamic	Integer	1.7
Aware Stranger Crime Severity	Aware Stranger Crime Severity	[0-6]	dynamic	Integer	1.8
