Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Children	Children	[0-10]	dynamic	Integer	
Religion	Religion	majority,minority,none	fixed	String	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
TA2A 632 Friends in Region	TA2A 632 Friends in Region	[0+]	dynamic	Integer	Q6
TA2A 632 Friends outside Region	TA2A 632 Friends outside Region	[0+]	dynamic	Integer	Q7
TA2A 632 Acquaintances	TA2A 632 Acquaintances	[0+]	dynamic	Integer	Q8
TA2A 632 Aid Willingness Age<18	TA2A 632 Aid Willingness Age<18	[0-6]	dynamic	Integer	Q9
TA2A 632 Aid Willingness Age>18	TA2A 632 Aid Willingness Age>18	[0-6]	dynamic	Integer	Q10
