Name	LongName	Values	VarType	DataType	Notes
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
ActorPost At Shelter	ActorPost At Shelter	yes,no	dynamic	Boolean	
ActorPost Evacuated	ActorPost Evacuated	yes,no	dynamic	Boolean	
ActorPost Injured	ActorPost Injured	yes,no	dynamic	Boolean	
ActorPost Risk	ActorPost Risk	[1-7]	dynamic	Integer	
ActorPost Dissatisfaction	ActorPost Dissatisfaction	[1-7]	dynamic	Integer	
ActorPost Shelter Possibility	ActorPost Shelter Possibility	[1-7]	dynamic	Integer	N/A if already at shelter
ActorPost Evacuation Possibility	ActorPost Evacuation Possibility	[1-7]	dynamic	Integer	N/A if already evacuated
ActorPost Stay at Home Possibility	ActorPost Stay at Home Possibility	[1-7]	dynamic	Integer	N/A if stayed home
