Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Age	Age	[0-100]	dynamic	Integer	
TA2A 392 Dissatisfaction	TA2A 392 Dissatisfaction	[0-6]	dynamic	Integer	
TA2A 392 Aid Eagerness	TA2A 392 Aid Eagerness	[0-6]	dynamic	Integer	
TA2A 392 Location	TA2A 392 Location	evacuated,shelter,home	dynamic	String	
TA2A 392 Injury	TA2A 392 Injury	none,minor,serious	dynamic	String	
TA2A 392 Minor Injury Possibility	TA2A 392 Minor Injury Possibility	[0-6],NA	dynamic	Integer	
TA2A 392 Serious Injury Possibility	TA2A 392 Serious Injury Possibility	[0-6],NA	dynamic	Integer	
TA2A 392 Received Aid	TA2A 392 Received Aid	yes,no	dynamic	Boolean	
TA2A 392 Aid Adequacy	TA2A 392 Aid Adequacy	[0-6]	dynamic	Integer	
