Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Children	Children	[0-10]	dynamic	Integer	
Religion	Religion	majority,minority,none	fixed	String	
Ethnicity	Ethnicity	majority,minority	fixed	String	
TA2A 622 Survey ID	TA2A 622 Survey ID	Actor[Pre,Post] [1+] Hurricane [1+]	dynamic	String	
TA2A 622 Health Issues	TA2A 622 Health Issues	[1-7]	dynamic	Integer	Q1e
TA2A 622 Criminal Record	TA2A 622 Criminal Record	[0+]	dynamic	Integer	Q2
TA2A 622 Navigation Confidence	TA2A 622 Navigation Confidence	[1-7]	dynamic	Integer	Q3
TA2A 622 Stay Home Willingness	TA2A 622 Stay Home Willingness	[1-7]	dynamic	Integer	Q4
TA2A 622 Location	TA2A 622 Location	home,evacuated,shelter	dynamic	String	Q5
TA2A 622 Shelter Comfort	TA2A 622 Shelter Comfort	[1-7]	dynamic	Integer	Q6
