Name	LongName	Values	VarType	DataType	Notes
TA2A 482 Ethnicity	TA2A 482 Ethnicity	majority,minority	dynamic	String	Q1
TA2A 482 Wealth	TA2A 482 Wealth	[0-6]	dynamic	Integer	Q2
TA2A 482 Income	TA2A 482 Income	[0-6]	dynamic	Integer	Q3
TA2A 482 Tax Rate	TA2A 482 Tax Rate	[0-6]	dynamic	Integer	Q4
TA2A 482 Evacuation Incentive	TA2A 482 Evacuation Incentive	yes,no	dynamic	Boolean	Q5
TA2A 482 Law Enforcement Assistance	TA2A 482 Law Enforcement Assistance	yes,no	dynamic	Boolean	Q5
TA2A 482 Outside Disaster Relief	TA2A 482 Outside Disaster Relief	yes,no	dynamic	Boolean	Q5
TA2A 482 Evacuation Routes	TA2A 482 Evacuation Routes	yes,no	dynamic	Boolean	Q5
TA2A 482 Hospitalization Support	TA2A 482 Hospitalization Support	yes,no	dynamic	Boolean	Q5
TA2A 482 Shelter Restriction	TA2A 482 Shelter Restriction	Region[01-16],yes,no	dynamic	String	Q6
