Name	LongName	Values	VarType	DataType	Notes
Participant	Participant	[1+]	fixed	Integer	
Timestep	Timestep	[1+]	dynamic	Integer	0.i.j
Age	Age	[0-100]	dynamic	Integer	0.i.a
Children	Children	[0-10]	dynamic	Integer	0.i.e
Ethnicity	Ethnicity	majority,minority	fixed	String	0.i.c
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	0.i.f
Gender	Gender	female,male	fixed	String	0.i.b
Pets	Pets	yes,no	dynamic	Boolean	0.i.g
Religion	Religion	majority,minority,none	fixed	String	0.i.d
Residence	Residence	Region[01-16]	fixed	String	0.i.h
Wealth	Wealth	[1-7]	dynamic	Integer	0.i.i
Out Friends	Out Friends	[0+]	dynamic	Integer	0.i.k
In Friends	In Friends	[0+]	dynamic	Integer	0.i.l
Acquaintances	Acquaintances	[0+]	dynamic	Integer	0.i.m: Friends not included
Aid if Wealth Loss	Aid if Wealth Loss	[0-6]	dynamic	Integer	0.ii.a
Hurricane Vulnerability	Hurricane Vulnerability	[0-6]	dynamic	Integer	0.ii.b
Stay Home Willingness	Stay Home Willingness	[0-6]	dynamic	Integer	0.ii.c
Aid Age<20	Aid Age<20	[0-6]	dynamic	Integer	0.ii.d
Aid 20<=Age<30	Aid 20<=Age<30	[0-6]	dynamic	Integer	0.ii.e
Aid 30<=Age<40	Aid 30<=Age<40	[0-6]	dynamic	Integer	0.ii.f
Aid 40<=Age<50	Aid 40<=Age<50	[0-6]	dynamic	Integer	0.ii.g
Aid 50<=Age<60	Aid 50<=Age<60	[0-6]	dynamic	Integer	0.ii.h
Aid 60<=Age<70	Aid 60<=Age<70	[0-6]	dynamic	Integer	0.ii.i
Aid 70<=Age<80	Aid 70<=Age<80	[0-6]	dynamic	Integer	0.ii.j
Aid 80<=Age	Aid 80<=Age	[0-6]	dynamic	Integer	0.ii.k
Aid Female	Aid Female	[0-6]	dynamic	Integer	0.ii.l
Aid Male	Aid Male	[0-6]	dynamic	Integer	0.ii.m
Aid Minority Ethnicity	Aid Minority Ethnicity	[0-6]	dynamic	Integer	0.ii.n
Aid Majority Ethnicity	Aid Majority Ethnicity	[0-6]	dynamic	Integer	0.ii.o
Aid Minority Religion	Aid Minority Religion	[0-6]	dynamic	Integer	0.ii.p
Aid Majority Religion	Aid Majority Religion	[0-6]	dynamic	Integer	0.ii.q
Aid None Religion	Aid None Religion	[0-6]	dynamic	Integer	0.ii.r
Aid 0 Children	Aid 0 Children	[0-6]	dynamic	Integer	0.ii.s
Aid 1 Children	Aid 1 Children	[0-6]	dynamic	Integer	0.ii.t
Aid 2 Children	Aid 2 Children	[0-6]	dynamic	Integer	0.ii.u
Aid with Job	Aid with Job	[0-6]	dynamic	Integer	0.ii.v
Aid without Job	Aid without Job	[0-6]	dynamic	Integer	0.ii.w
Aid with Pets	Aid with Pets	[0-6]	dynamic	Integer	0.ii.x
Aid without Pets	Aid without Pets	[0-6]	dynamic	Integer	0.ii.y
Aid Wealth 5	Aid Wealth 5	[0-6]	dynamic	Integer	0.ii.z
Aid Wealth 4	Aid Wealth 4	[0-6]	dynamic	Integer	0.ii.aa
Aid Wealth 3	Aid Wealth 3	[0-6]	dynamic	Integer	0.ii.bb
Aid Wealth 2	Aid Wealth 2	[0-6]	dynamic	Integer	0.ii.cc
Aid Wealth 1	Aid Wealth 1	[0-6]	dynamic	Integer	0.ii.dd
Aid Wealth 0	Aid Wealth 0	[0-6]	dynamic	Integer	0.ii.ee
Most Take Advantage	Most Take Advantage	[0-6]	dynamic	Integer	0.ii.ff
People Can Be Trusted	People Can Be Trusted	[0-6]	dynamic	Integer	0.ii.gg
Risk	Risk	[1-5]	dynamic	Integer	1.c
Severity	Severity	[1-5]	dynamic	Integer	1.d
Dissatisfaction	Dissatisfaction	[1-5]	dynamic	Integer	1.e
Location	Location	shelter,evacuated,region,home	dynamic	String	1.f
Shelter w/Children	Shelter w/Children	yes,no	dynamic	Boolean	1.i.1
Shelter w/Pets	Shelter w/Pets	yes,no	dynamic	Boolean	1.i.2
Shelter Tell	Shelter Tell	yes,no	dynamic	Boolean	1.i.3
Serious Injury Possibility	Serious Injury Possibility	[0-6]	dynamic	Integer	1.g
Minor Injury Possibility	Minor Injury Possibility	[0-6]	dynamic	Integer	1.h
Shelter Possibility	Shelter Possibility	[0-6]	dynamic	Integer	1.i
Evacuation Possibility	Evacuation Possibility	[0-6]	dynamic	Integer	1.j
Received Govt Aid	Received Govt Aid	yes,no	dynamic	Boolean	1.i.k
Received Acquaintance Aid	Received Acquaintance Aid	yes,no	dynamic	Boolean	1.i.l
Gave Aid	Gave Aid	yes,no	dynamic	Boolean	1.i.m
Received Salary	Received Salary	yes,no	dynamic	Boolean	1.i.n
Social Media Location	Social Media Location	Region[01-16],leaving	dynamic	String	1.i.o
Social Media Category	Social Media Category	[0-5]	dynamic	Integer	1.i.p
Friend Category	Friend Category	[0-5]	dynamic	Integer	1.i.q
Wealth Change	Wealth Change	[-5-5]	dynamic	Integer	1.i.r
Dissatisfaction Change	Dissatisfaction Change	[-5-5]	dynamic	Integer	1.i.s
Risk Change	Risk Change	[-5-5]	dynamic	Integer	1.i.t
Injury Change	Injury Change	[-5-5]	dynamic	Integer	1.i.u
