Name	LongName	Values	VarType	DataType	Notes
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
TA2B 17 Participant ID	TA2B 17 Participant ID	Actor	dynamic	String	Map to pre/post-survey ID
TA2B 17 Friends	TA2B 17 Friends	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Satisfaction	TA2B 17 Pt1 Condition 0 Satisfaction	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Risk	TA2B 17 Pt1 Condition 0 Risk	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Shelter Possibility	TA2B 17 Pt1 Condition 0 Shelter Possibility	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Evacuation Possibility	TA2B 17 Pt1 Condition 0 Evacuation Possibility	[1-7]	dynamic	Integer	N/A if already evacuated
TA2B 17 Pt1 Condition 0 Stay at Home Possibility	TA2B 17 Pt1 Condition 0 Stay at Home Possibility	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Injuries	TA2B 17 Pt1 Condition 0 Injuries	none,self,dependents,selfplusdependents	dynamic	String	
TA2B 17 Pt1 Condition 0 Days at Shelter	TA2B 17 Pt1 Condition 0 Days at Shelter	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Days Evacuated	TA2B 17 Pt1 Condition 0 Days Evacuated	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Wealth	TA2B 17 Pt1 Condition 0 Wealth	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Property Damage	TA2B 17 Pt1 Condition 0 Property Damage	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Government Assistance	TA2B 17 Pt1 Condition 0 Government Assistance	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Friends Evacuated	TA2B 17 Pt1 Condition 0 Friends Evacuated	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 0 Friends Sheltered	TA2B 17 Pt1 Condition 0 Friends Sheltered	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Satisfaction	TA2B 17 Pt1 Condition 1 Satisfaction	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Risk	TA2B 17 Pt1 Condition 1 Risk	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Shelter Possibility	TA2B 17 Pt1 Condition 1 Shelter Possibility	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Evacuation Possibility	TA2B 17 Pt1 Condition 1 Evacuation Possibility	[1-7]	dynamic	Integer	N/A if already evacuated
TA2B 17 Pt1 Condition 1 Stay at Home Possibility	TA2B 17 Pt1 Condition 1 Stay at Home Possibility	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Injuries	TA2B 17 Pt1 Condition 1 Injuries	none,self,dependents,selfplusdependents	dynamic	String	
TA2B 17 Pt1 Condition 1 Days at Shelter	TA2B 17 Pt1 Condition 1 Days at Shelter	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Days Evacuated	TA2B 17 Pt1 Condition 1 Days Evacuated	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Wealth	TA2B 17 Pt1 Condition 1 Wealth	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Property Damage	TA2B 17 Pt1 Condition 1 Property Damage	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Government Assistance	TA2B 17 Pt1 Condition 1 Government Assistance	[1-7]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Friends Evacuated	TA2B 17 Pt1 Condition 1 Friends Evacuated	[0+]	dynamic	Integer	
TA2B 17 Pt1 Condition 1 Friends Sheltered	TA2B 17 Pt1 Condition 1 Friends Sheltered	[0+]	dynamic	Integer	
