Name	LongName	Values	VarType	DataType	Notes
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
TA2A 402 Wealth Change	TA2A 402 Wealth Change	[-5-5]	dynamic	Integer	
TA2A 402 Dissatisfaction Change	TA2A 402 Dissatisfaction Change	[-5-5]	dynamic	Integer	
TA2A 402 Risk Change	TA2A 402 Risk Change	[-5-5]	dynamic	Integer	
TA2A 402 Injury possibility Change	TA2A 402 Injury possibility Change	[-5-5]	dynamic	Integer	
TA2A 402 Aid If Wealth Loss	TA2A 402 Aid If Wealth Loss	yes,no	dynamic	Boolean	
TA2A 402 Hurricane Vulnerability	TA2A 402 Hurricane Vulnerability	yes,no	dynamic	Boolean	
TA2A 402 Stay at Home Willingness	TA2A 402 Stay at Home Willingness	yes,no	dynamic	Boolean	
TA2A 402 Wealth Decrease Hurricane	TA2A 402 Wealth Decrease Hurricane	yes,no	dynamic	Boolean	
TA2A 402 Wealth Decrease Serious Injury	TA2A 402 Wealth Decrease Serious Injury	yes,no	dynamic	Boolean	
TA2A 402 Wealth Decrease Minor Injury	TA2A 402 Wealth Decrease Minor Injury	yes,no	dynamic	Boolean	
