Name	LongName	Values	VarType	DataType	Notes
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
TA2B 20 Location	TA2B 20 Location	home,shelter,evacuated	dynamic	String	Q2
TA2B 20 Last Hurricane	TA2B 20 Last Hurricane	home,evacuated,sheltered,evacuatedAndSheltered	dynamic	String	Q3
TA2B 20 Injured	TA2B 20 Injured	yes,no	dynamic	Boolean	Q4
TA2B 20 Category	TA2B 20 Category	[1-5]	dynamic	Integer	Q5
TA2B 20 Previous Hurricanes	TA2B 20 Previous Hurricanes	home,evacuated,sheltered,evacuatedAndSheltered	dynamic	String	Q6: Comma-separated list from first to next-to-last hurricane
TA2B 20 Injured Previous Hurricanes	TA2B 20 Injured Previous Hurricanes	yes,no	dynamic	Boolean	Q7: Comma-separated list from first to next-to-last hurricane
TA2B 20 Participant ID	TA2B 20 Participant ID	Actor[Pre,Post] Hurricane [1+] [1+]	dynamic	String	Map to pre/post-survey ID
TA2B 20 Aid Region	TA2B 20 Aid Region	Region[01-16]	dynamic	String	Q8
