Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Children	Children	[0-10]	dynamic	Integer	
Religion	Religion	majority,minority,none	fixed	String	
Ethnicity	Ethnicity	majority,minority	fixed	String	
TA2B 1 Location	TA2B 1 Location	home,shelter,evacuated	dynamic	String	Q2
TA2B 1 Injured	TA2B 1 Injured	yes,no	dynamic	Boolean	Q3
TA2B 1 Category	TA2B 1 Category	[1-5]	dynamic	Integer	Q4
TA2B 1 Action Previous Hurricanes	TA2B 1 Action Previous Hurricanes	home,evacuated,sheltered,evacuatedAndSheltered	dynamic	String	Q5: Comma-separated list from first to last hurricane
TA2B 1 Friends Same Previous Hurricanes	TA2B 1 Friends Same Previous Hurricanes	[0+]	dynamic	Integer	Q6: Comma-separated list from first to last hurricane
TA2B 1 Injured Previous Hurricanes	TA2B 1 Injured Previous Hurricanes	yes,no	dynamic	Boolean	Q7: Comma-separated list from first to last hurricane
TA2B 1 Survey ID	TA2B 1 Survey ID	Actor[Pre,Post] [1+] Hurricane [1+]	dynamic	String	
TA2B 1 Aid Region	TA2B 1 Aid Region	Region[01-16]	dynamic	String	Q8
