Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Children	Children	[0-10]	dynamic	Integer	
Religion	Religion	majority,minority,none	fixed	String	
Ethnicity	Ethnicity	majority,minority	fixed	String	
TA2A 702 Evacuated with Family	TA2A 702 Evacuated with Family	yes,no	dynamic	Boolean	Q5a
TA2A 702 Evacuated with Friends	TA2A 702 Evacuated with Friends	yes,no	dynamic	Boolean	Q5b
TA2A 702 Evacuated with Acquaintances	TA2A 702 Evacuated with Acquaintances	yes,no	dynamic	Boolean	Q5c
TA2A 702 Sheltered with Family	TA2A 702 Sheltered with Family	yes,no	dynamic	Boolean	Q6a
TA2A 702 Sheltered with Friends	TA2A 702 Sheltered with Friends	yes,no	dynamic	Boolean	Q6b
TA2A 702 Sheltered with Acquaintances	TA2A 702 Sheltered with Acquaintances	yes,no	dynamic	Boolean	Q6c
