Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Children	Children	[0-10]	dynamic	Integer	
Religion	Religion	majority,minority,none	fixed	String	
Ethnicity	Ethnicity	majority,minority	fixed	String	
TA2A 642 Aid Willingness Children	TA2A 642 Aid Willingness Children	[0-7]	dynamic	Integer	Q5
TA2A 642 Aid Willingness No Children	TA2A 642 Aid Willingness No Children	[0-7]	dynamic	Integer	Q6
TA2A 642 Aid Willingness Male	TA2A 642 Aid Willingness Male	[0-7]	dynamic	Integer	Q7
TA2A 642 Aid Willingness Female	TA2A 642 Aid Willingness Female	[0-7]	dynamic	Integer	Q8
TA2A 642 Aid Willingness Minority Religion	TA2A 642 Aid Willingness Minority Religion	[0-7]	dynamic	Integer	Q9
TA2A 642 Aid Willingness Majority Religion	TA2A 642 Aid Willingness Majority Religion	[0-7]	dynamic	Integer	Q10
